87,Rumia,powiat,wejherowski,pomorskie,49936,30.1,km²,18.38462,54.57008
88,Starachowice,powiat,starachowicki,świętokrzyskie,46879,31.8,km²,21.08204,51.03846
89,Skierniewice,powiat,Skierniewice,łódzkie,47031,34.6,km²,20.14487,51.95805
90,Wodzisław Śląski,powiat,wodzisławski,śląskie,47073,49.5,km²,18.44806,50.00238
91,Piaseczno,powiat,piaseczyński,mazowieckie,48688,16.2,km²,21.02709,52.07474
92,Starogard Gdański,powiat,starogardzki,pomorskie,46768,25.3,km²,18.52666,53.96545
93,Puławy,powiat,puławski,lubelskie,46304,50.5,km²,21.9853,51.42626
94,Tarnobrzeg,powiat,Tarnobrzeg,podkarpackie,45827,85.4,km²,21.69643,50.59242
95,Krosno,powiat,Krosno,podkarpackie,45463,44.7,km²,21.75348,49.68898
96,Kołobrzeg,powiat,kołobrzeski,zachodniopomorskie,45713,25.7,km²,15.57655,54.17607
97,Radomsko,powiat,radomszczański,łódzkie,44700,51.4,km²,19.44985,51.07106
98,Dębica,powiat,dębicki,podkarpackie,44692,33.8,km²,21.41276,50.04612
99,Skarżysko-Kamienna,powiat,skarżyski,świętokrzyskie,43422,64.4,km²,20.87701,51.12297
100,Otwock,powiat,otwocki,mazowieckie,44078,47.3,km²,21.29346,52.11617
101,Ciechanów,powiat,ciechanowski,mazowieckie,43495,32.8,km²,20.60625,52.8712
102,Kutno,powiat,kutnowski,łódzkie,42704,33.6,km²,19.3876,52.222
103,Nysa,powiat,nyski,opolskie,42740,27.5,km²,17.33247,50.4738
104,Sieradz,powiat,sieradzki,łódzkie,40891,51.2,km²,18.7399,51.60175
105,Zduńska Wola,powiat,zduńskowolski,łódzkie,40730,24.6,km²,18.95011,51.59491
106,Świnoujście,powiat,Świnoujście,zachodniopomorskie,40467,202.1,km²,14.25107,53.90975
107,Mikołów,powiat,mikołowski,śląskie,41047,79.2,km²,18.85385,50.196
108,Mińsk Mazowiecki,powiat,miński,mazowieckie,40754,13.2,km²,21.56946,52.1796
109,Szczecinek,powiat,szczecinecki,zachodniopomorskie,39474,48.5,km²,16.70713,53.70234
110,Żyrardów,powiat,żyrardowski,mazowieckie,39138,14.4,km²,20.44464,52.05553
111,Chojnice,powiat,chojnicki,pomorskie,39423,21,km²,17.57034,53.69992
112,Świdnik,powiat,świdnicki,lubelskie,38174,20.4,km²,22.69096,51.21649
113,Bolesławiec,powiat,bolesławiecki,dolnośląskie,38346,23.6,km²,15.55502,51.26217
114,Nowa Sól,powiat,nowosolski,lubuskie,37791,21.8,km²,15.70624,51.80334
115,Malbork,powiat,malborski,pomorskie,37693,17.2,km²,19.0394,54.02874
116,Kwidzyn,powiat,kwidzyński,pomorskie,37975,21.5,km²,18.93746,53.72047
117,Knurów,powiat,gliwicki,śląskie,37502,34,km²,18.66371,50.20718
118,Oświęcim,powiat,oświęcimski,małopolskie,37031,30,km²,19.26008,50.03367
119,Jarosław,powiat,jarosławski,podkarpackie,36563,34.6,km²,39.89337,57.62639
120,Żary,powiat,żarski,lubuskie,36559,33.5,km²,15.14872,51.62444
121,Sanok,powiat,sanocki,podkarpackie,36462,38.1,km²,22.21176,49.55895
122,Oleśnica,powiat,oleśnicki,dolnośląskie,36683,21,km²,17.38295,51.21024
123,Wołomin,powiat,wołomiński,mazowieckie,36492,17.2,km²,21.24202,52.34687
124,Chrzanów,powiat,chrzanowski,małopolskie,35651,38.3,km²,19.40285,50.14119
125,Ząbki,powiat,wołomiński,mazowieckie,39420,11,km²,21.1147,52.29233
126,Sochaczew,powiat,sochaczewski,mazowieckie,35455,26.2,km²,20.25712,52.23672
127,Sopot,powiat,Sopot,pomorskie,34909,17.3,km²,18.56131,54.44304
128,Brzeg,powiat,brzeski,opolskie,34778,14.6,km²,17.46412,50.85886
129,Czechowice-Dziedzice,powiat,bielski,śląskie,35684,32.9,km²,19.00756,49.91121
130,Olkusz,powiat,olkuski,małopolskie,34265,25.7,km²,19.55963,50.27882
131,Lębork,powiat,lęborski,pomorskie,34864,17.9,km²,17.74478,54.53338
132,Jasło,powiat,jasielski,podkarpackie,34040,36.5,km²,21.49358,49.74696
133,Cieszyn,powiat,cieszyński,śląskie,33500,28.6,km²,18.65623,49.75577
134,Kraśnik,powiat,kraśnicki,lubelskie,33382,26.1,km²,22.20835,50.94349
135,Marki,powiat,wołomiński,mazowieckie,38061,26.2,km²,21.12078,52.33638
136,Nowy Targ,powiat,nowotarski,małopolskie,33090,51.1,km²,20.02634,49.48921
137,Dzierżoniów,powiat,dzierżoniowski,dolnośląskie,32346,20.1,km²,16.65675,50.72917
138,Iława,powiat,iławski,warmińsko-mazurskie,33003,21.9,km²,19.5761,53.59611
139,Ostróda,powiat,ostródzki,warmińsko-mazurskie,32440,14.2,km²,19.96286,53.70281
140,Oława,powiat,oławski,dolnośląskie,32997,27.4,km²,17.29027,50.95709
141,Police,powiat,policki,zachodniopomorskie,31863,37.3,km²,14.56574,53.54864
142,Luboń,powiat,poznański,wielkopolskie,31900,13.5,km²,16.87185,52.33669
143,Myszków,powiat,myszkowski,śląskie,30776,73.6,km²,19.32486,50.56467
144,Czeladź,powiat,będziński,śląskie,30732,16.4,km²,19.07843,50.31914
145,Grodzisk Mazowiecki,powiat,grodziski,mazowieckie,32818,13.2,km²,20.63134,52.10662
146,Żywiec,powiat,żywiecki,śląskie,30313,50.5,km²,19.21915,49.7065
147,Mława,powiat,mławski,mazowieckie,31047,34.8,km²,20.36288,53.13419
148,Pruszcz Gdański,powiat,gdański,pomorskie,31949,16.5,km²,18.6501,54.25765
149,Września,powiat,wrzesiński,wielkopolskie,30937,12.7,km²,17.56523,52.32507
150,Zgorzelec,powiat,zgorzelecki,dolnośląskie,29253,15.9,km²,15.01443,51.15179
151,Swarzędz,powiat,poznański,wielkopolskie,29426,8.2,km²,17.0771,52.41037
152,Augustów,powiat,augustowski,podlaskie,29729,80.9,km²,22.98024,53.84373
153,Bielawa,powiat,dzierżoniowski,dolnośląskie,29232,36.2,km²,16.60719,50.67539
154,Łuków,powiat,łukowski,lubelskie,29170,35.8,km²,22.37278,51.92517
155,Bochnia,powiat,bocheński,małopolskie,29317,29.9,km²,20.42533,49.97468
156,Śrem,powiat,śremski,wielkopolskie,28821,12.4,km²,15.9265,51.64467
157,Giżycko,powiat,giżycki,warmińsko-mazurskie,28597,13.7,km²,21.76613,54.03614
158,Krotoszyn,powiat,krotoszyński,wielkopolskie,28421,22.5,km²,17.43742,51.69593
159,Brodnica,powiat,brodnicki,kujawsko-pomorskie,28536,23.2,km²,19.40543,53.25802
160,Nowy Dwór Mazowiecki,powiat,nowodworski,mazowieckie,28564,28.2,km²,20.70611,52.43418
161,Łowicz,powiat,łowicki,łódzkie,27436,23.4,km²,19.94746,52.10123
162,Czerwionka-Leszczyny,powiat,rybnicki,śląskie,27683,37.6,km²,18.6532,50.145
163,Gorlice,powiat,gorlicki,małopolskie,26545,23.5,km²,21.16348,49.66633
164,Kętrzyn,powiat,kętrzyński,warmińsko-mazurskie,26436,10.4,km²,21.37683,54.08198
165,Zakopane,powiat,tatrzański,małopolskie,26540,84.3,km²,19.95048,49.29691
166,Turek,powiat,turecki,wielkopolskie,26084,16.2,km²,18.51145,52.0162
167,Kłodzko,powiat,kłodzki,dolnośląskie,25990,24.8,km²,16.64225,50.43371
168,Wyszków,powiat,wyszkowski,mazowieckie,26841,20.8,km²,21.45846,52.5928
169,Biłgoraj,powiat,biłgorajski,lubelskie,25838,21.1,km²,22.72093,50.54248
170,Jarocin,powiat,jarociński,wielkopolskie,26410,22,km²,17.50113,51.97392
171,Świecie,powiat,świecki,kujawsko-pomorskie,25236,11.9,km²,18.44553,53.40725
172,Pszczyna,powiat,pszczyński,śląskie,25527,22.5,km²,18.94251,49.97783
173,Żagań,powiat,żagański,lubuskie,24907,40.4,km²,15.30078,51.61532
174,Reda,powiat,wejherowski,pomorskie,27014,33.5,km²,18.32171,54.62101
175,Wągrowiec,powiat,wągrowiecki,wielkopolskie,25407,17.8,km²,17.20191,52.81221
176,Bielsk Podlaski,powiat,bielski,podlaskie,24719,27,km²,23.18821,52.76492
177,Wałcz,powiat,wałecki,zachodniopomorskie,24687,38.2,km²,16.47682,53.27285
178,Skawina,powiat,krakowski,małopolskie,24294,20.5,km²,19.82657,49.97475
179,Białogard,powiat,białogardzki,zachodniopomorskie,23614,25.7,km²,15.96913,54.01451
180,Kościan,powiat,kościański,wielkopolskie,23479,9,km²,16.64609,52.08337
